,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,id,belongs_to_collection,genres,original_language,original_title,popularity,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_count,vote_average,movie_id,Actor1_pop,Actor2_pop,Actor3_pop,12,878,28,18,10751,53,35,80,9648,14,27,10749,99,10402,36,10752,16,37,10769,10770,Number of Production Companies,Release Month,'US','CA','GB',OTHER,'en','otherLang'
0,0,0,0,0,339964,0.0,"[{'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Action', 'id': 28}]",en,Valerian and the City of a Thousand Planets,278.579364,"[{'name': 'Belga Films', 'id': 1145}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Grive Productions', 'id': 6877}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Universum Film (UFA)', 'id': 12372}, {'name': 'Fundamental Films', 'id': 55244}, {'name': 'Orange Studio', 'id': 84634}, {'name': 'Gulf Film', 'id': 96686}, {'name': 'Novo Pictures', 'id': 96687}, {'name': 'BNP Paribas', 'id': 98007}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/20/2017,137.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Valerian and the City of a Thousand Planets,1347,6.7,339964,9.460488,5.4261,4.771382,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7.0,1,1,1,1,0,0
1,1,1,1,1,35691,0.0,"[{'name': 'Action', 'id': 28}, {'name': 'Drama', 'id': 18}, {'name': 'Family', 'id': 10751}, {'name': 'Thriller', 'id': 53}]",en,Letters to God,18.178478,"[{'name': 'Mercy Creek Entretainment', 'id': 5568}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/9/2010,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Letters to God,39,6.6,35691,2.222239,0.860164,0.715197,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,0,0,0,0,0
2,2,2,2,2,112160,0.0,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",fr,Chroniques sexuelles d'une famille d'aujourd'hui,10.089318,"[{'name': 'Monkey Pack Films', 'id': 8906}, {'name': 'Toloda', 'id': 9011}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",5/9/2012,81.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Sexual Chronicles of a French Family,96,4.2,112160,0.81619,0.615657,0.614648,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,0,0,0,1,0,0
3,3,3,3,3,64690,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'Crime', 'id': 80}]",en,Drive,12.873933,"[{'name': 'Bold Films', 'id': 2266}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Odd Lot Entertainment', 'id': 3263}, {'name': 'FilmDistrict', 'id': 7263}, {'name': 'Motel Movies', 'id': 11337}, {'name': 'Newbridge Film Capital', 'id': 46625}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/6/2011,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There are no clean getaways.,Drive,4118,7.5,64690,6.754838,6.189796,5.170999,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8.0,1,0,0,0,0,0
4,4,4,4,4,1018,0.0,"[{'name': 'Thriller', 'id': 53}, {'name': 'Drama', 'id': 18}, {'name': 'Mystery', 'id': 9648}]",en,Mulholland Drive,10.699658,"[{'name': 'Asymmetrical Productions', 'id': 373}, {'name': 'Les Films Alain Sarde', 'id': 635}, {'name': 'Babbo Inc.', 'id': 636}, {'name': 'The Picture Factory', 'id': 637}, {'name': 'Canal+', 'id': 5358}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",5/16/2001,147.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,Mulholland Drive,1655,7.7,1018,7.209498,3.459744,2.761127,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5.0,1,0,0,1,0,0
5,5,5,5,5,10285,1.0,"[{'name': 'Fantasy', 'id': 14}, {'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",en,Jason Goes to Hell: The Final Friday,9.189482,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Sean S. Cunningham Films', 'id': 17611}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/13/1993,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evil has finally found a home.,Jason Goes to Hell: The Final Friday,207,4.2,10285,0.529973,0.412029,0.214305,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.0,1,0,0,0,0,0
6,6,6,6,6,73861,0.0,"[{'name': 'Horror', 'id': 27}, {'name': 'Crime', 'id': 80}, {'name': 'Thriller', 'id': 53}]",sr,Srpski film,12.29696,"[{'name': 'Contra Film', 'id': 9999}]","[{'iso_3166_1': 'RS', 'name': 'Serbia'}]",6/16/2010,104.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,Not all films have a happy ending.,A Serbian Film,446,5.5,73861,1.884415,1.05985,0.917087,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.0,0,0,0,1,0,0
7,7,7,7,7,298312,0.0,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",en,The Visit,8.234061,"[{'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Blinding Edge Pictures', 'id': 12236}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/10/2015,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No one loves you like your grandparents.,The Visit,1524,6.1,298312,2.838991,1.722327,1.716,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9.0,1,0,0,0,0,0
8,8,8,8,8,8967,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Fantasy', 'id': 14}]",en,The Tree of Life,11.621256,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Plan B Entertainment', 'id': 81}, {'name': 'River Road Entertainment', 'id': 1246}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/18/2011,139.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing stands still.,The Tree of Life,1080,6.5,8967,10.251028,5.901165,2.52658,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5.0,1,0,0,0,0,0
9,9,9,9,9,8810,1.0,"[{'name': 'Adventure', 'id': 12}, {'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'Science Fiction', 'id': 878}]",en,Mad Max 2,9.157247,"[{'name': 'Kennedy Miller Productions', 'id': 2537}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",12/24/1981,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When all that's left is one last chance, pray that he's still out there ... somewhere!",Mad Max 2: The Road Warrior,1050,7.3,8810,5.155845,1.809611,0.728,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0,0,0,1,0,0
