id,adult,backdrop_path,belongs_to_collection,genres,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_count,vote_average,movie_id,Actor1_pop,Actor2_pop,Actor3_pop
339964,FALSE,/o6OhxtsgMurL4h68Uqei0aSPMNr.jpg,,"[{'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Action', 'id': 28}]",tt2239822,en,Valerian and the City of a Thousand Planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",278.579364,/jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg,"[{'name': 'Belga Films', 'id': 1145}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Grive Productions', 'id': 6877}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Universum Film (UFA)', 'id': 12372}, {'name': 'Fundamental Films', 'id': 55244}, {'name': 'Orange Studio', 'id': 84634}, {'name': 'Gulf Film', 'id': 96686}, {'name': 'Novo Pictures', 'id': 96687}, {'name': 'BNP Paribas', 'id': 98007}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/20/2017,137,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Valerian and the City of a Thousand Planets,1347,6.7,339964,9.460488,5.4261,4.771382
35691,FALSE,/r9OuqEdge1AXizB8JTcsMuUV17T.jpg,,"[{'name': 'Action', 'id': 28}, {'name': 'Drama', 'id': 18}, {'name': 'Family', 'id': 10751}, {'name': 'Thriller', 'id': 53}]",tt1462054,en,Letters to God,"A young boy fighting cancer writes letters to God, touching lives in his neighborhood and inspiring hope among everyone he comes in contact. An unsuspecting substitute postman, with a troubled life of his own, becomes entangled in the boy's journey and his family by reading the letters. They inspire him to seek a better life for himself and his own son he's lost through his alcohol addiction.",18.178478,/coraGbtZPMKUQEFRKN9Epnqi0UA.jpg,"[{'name': 'Mercy Creek Entretainment', 'id': 5568}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/9/2010,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Letters to God,39,6.6,35691,2.222239,0.860164,0.715197
112160,FALSE,/dhsYvPtiBoNfxXqIsBKqV7cTQwm.jpg,,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",tt1753584,fr,Chroniques sexuelles d'une famille d'aujourd'hui,Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.,10.089318,/pU2nD3Llaz3Taq5FAaQUg00uJYD.jpg,"[{'name': 'Monkey Pack Films', 'id': 8906}, {'name': 'Toloda', 'id': 9011}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",5/9/2012,81,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Sexual Chronicles of a French Family,96,4.2,112160,0.81619,0.615657,0.614648
64690,FALSE,/ekLAySalu0CGoGogPWY0BG6uAul.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'Crime', 'id': 80}]",tt0780504,en,Drive,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,12.873933,/nu7XIa67cXc2t7frXCE5voXUJcN.jpg,"[{'name': 'Bold Films', 'id': 2266}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Odd Lot Entertainment', 'id': 3263}, {'name': 'FilmDistrict', 'id': 7263}, {'name': 'Motel Movies', 'id': 11337}, {'name': 'Newbridge Film Capital', 'id': 46625}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/6/2011,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There are no clean getaways.,Drive,4118,7.5,64690,6.754838,6.189796,5.170999
1018,FALSE,/ihkQywNs6Si24WssdmT1rNHuAYy.jpg,,"[{'name': 'Thriller', 'id': 53}, {'name': 'Drama', 'id': 18}, {'name': 'Mystery', 'id': 9648}]",tt0166924,en,Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",10.699658,/oKyY4TFaLjQTgyX8oRde82GinOw.jpg,"[{'name': 'Asymmetrical Productions', 'id': 373}, {'name': 'Les Films Alain Sarde', 'id': 635}, {'name': 'Babbo Inc.', 'id': 636}, {'name': 'The Picture Factory', 'id': 637}, {'name': 'Canal+', 'id': 5358}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",5/16/2001,147,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,Mulholland Drive,1655,7.7,1018,7.209498,3.459744,2.761127
10285,FALSE,/rNqayZdhu5yCckGRjMsrpbsi55Z.jpg,1,"[{'name': 'Fantasy', 'id': 14}, {'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",tt0107254,en,Jason Goes to Hell: The Final Friday,"Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed.",9.189482,/8yLdCrD1Eh6eoGTIIQ4jNBFLkUb.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Sean S. Cunningham Films', 'id': 17611}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/13/1993,87,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evil has finally found a home.,Jason Goes to Hell: The Final Friday,207,4.2,10285,0.529973,0.412029,0.214305
73861,FALSE,/19qAk3bQZ6ulspbwhPw1A0bNpii.jpg,,"[{'name': 'Horror', 'id': 27}, {'name': 'Crime', 'id': 80}, {'name': 'Thriller', 'id': 53}]",tt1273235,sr,Srpski film,"Milos, a retired porn star, leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",12.29696,/edM906NOM5WxaaAMeTsgDeqnBDr.jpg,"[{'name': 'Contra Film', 'id': 9999}]","[{'iso_3166_1': 'RS', 'name': 'Serbia'}]",6/16/2010,104,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,Not all films have a happy ending.,A Serbian Film,446,5.5,73861,1.884415,1.05985,0.917087
298312,FALSE,/cuAeZUGDQavjD0Ylc2g0ZVh401s.jpg,,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",tt3567288,en,The Visit,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day.",8.234061,/32tNtTEQ1vIOLm1hEOSFkVwJT5D.jpg,"[{'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Blinding Edge Pictures', 'id': 12236}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/10/2015,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No one loves you like your grandparents.,The Visit,1524,6.1,298312,2.838991,1.722327,1.716
8967,FALSE,/tBs9alJ2weUkOW83RkuBlz8Nlw6.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Fantasy', 'id': 14}]",tt0478304,en,The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",11.621256,/ptDOdfOg0srtk4TGdeYbLqxv2nd.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Plan B Entertainment', 'id': 81}, {'name': 'River Road Entertainment', 'id': 1246}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/18/2011,139,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing stands still.,The Tree of Life,1080,6.5,8967,10.251028,5.901165,2.52658
8810,FALSE,/etybioibi04QJK9xxn3Rv5NLuKs.jpg,1,"[{'name': 'Adventure', 'id': 12}, {'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'Science Fiction', 'id': 878}]",tt0082694,en,Mad Max 2,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",9.157247,/voNuYkvQgDSqijCDllEaRntq7ln.jpg,"[{'name': 'Kennedy Miller Productions', 'id': 2537}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",12/24/1981,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When all that's left is one last chance, pray that he's still out there ... somewhere!",Mad Max 2: The Road Warrior,1050,7.3,8810,5.155845,1.809611,0.728
18176,FALSE,/fNVivNZEg6qf0T2DTNcZMxTac7B.jpg,,"[{'name': 'Comedy', 'id': 35}, {'name': 'Crime', 'id': 80}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]",tt1018818,en,Assassination of a High School President,"After the theft of copies of SAT exams from a principal's office, teenage reporter Bobby Funke sets out to unmask the thief. Bobby prints an article fingering Class President Paul Moore as the thief, shredding the youth's reputation. But as Bobby gets to know Paul's girlfriend, Francesca, he comes to realize he was wrong about Paul, so he sets out to unmask the true culprit.",7.195767,/9e1SZqHtyNsJzkrxOgmq8GyEjCN.jpg,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Yari Film Group', 'id': 2448}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/17/2008,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Politics, popularity, paranoia, pharmaceuticals. Are you in?",Assassination of a High School President,101,6.1,18176,7.044354,2.431067,1.806759
426230,FALSE,/q7MjtWWThDW1XvwA3wiVpa7poWW.jpg,,"[{'name': 'Comedy', 'id': 35}]",tt5816374,en,Band Aid,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,7.243994,/lcxx0vN0hhQi7KFpRaJlxAaLLhR.jpg,"[{'name': 'Mister Lister Films', 'id': 50080}, {'name': 'QC Entertainment', 'id': 72725}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/2/2017,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Band Aid,32,6.6,426230,3.026275,2.280469,2.085435
948,FALSE,/6Io0gvfEVpMQsB46yXOKCpSJOoJ.jpg,1,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",tt0077651,en,Halloween,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",8.788224,/vjoOFOTBJcJvA1weJejlZ92LZD4.jpg,"[{'name': 'Compass International Pictures', 'id': 14323}, {'name': 'Falcon International Productions', 'id': 22814}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/24/1978,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Night He Came Home,Halloween,1184,7.4,948,3.060685,2.920096,2.092218
10017,FALSE,/5D3CqlrdnU4waJuh37OyoEcLCID.jpg,,"[{'name': 'Romance', 'id': 10749}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Horror', 'id': 27}, {'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}]",tt0092240,en,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",6.413061,/agKajLCLtUNR5KH6lvmeg9LT1gD.jpg,"[{'name': 'New Century Entertainment Corporation', 'id': 10165}, {'name': 'Alliance Entertainment', 'id': 10166}, {'name': 'Turbo Productions', 'id': 59346}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",11/21/1986,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's not from around here...,The Wraith,112,6,10017,3.530998,2.786826,1.90677
9770,FALSE,/5rEDVAEmOsU7jOSVAlYhCpSPmgW.jpg,,"[{'name': 'Action', 'id': 28}, {'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]",tt0119592,en,Mad City,A misguided museum guard who loses his job and then tries to get it back at gunpoint is thrown into the fierce world of ratings-driven TV gone mad.,9.669714,/3aBKgBnqzg3ZUpGCHXzlVs2xINU.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Arnold Kopelson Productions', 'id': 16775}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/7/1997,114,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One man will make a mistake. The other will make it a spectacle.,Mad City,84,5.9,9770,8.441149,4.34077,4.23892
546,FALSE,/5Y6PdkVnCkEWdv9qCmNLVBfCV3w.jpg,,"[{'name': 'Drama', 'id': 18}]",tt0407265,en,Transamerica,Bree is about to get a sex change operation that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.,7.382634,/ehYc5DRe1Ipnn5XSf3Tol3LMbrq.jpg,"[{'name': 'IFC Films', 'id': 307}, {'name': 'The Weinstein Company', 'id': 308}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/23/2005,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Life is a Journey. Bring an Open Mind.,Transamerica,158,6.9,546,2.587379,2.128066,1.606145
