id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
339964,FALSE,/o6OhxtsgMurL4h68Uqei0aSPMNr.jpg,"[12, 878, 28]",en,Valerian and the City of a Thousand Planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",199.98526,/jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg,7/20/2017,Valerian and the City of a Thousand Planets,FALSE,6.7,1319
35691,FALSE,/r9OuqEdge1AXizB8JTcsMuUV17T.jpg,"[28, 18, 10751, 53]",en,Letters to God,"A young boy fighting cancer writes letters to God, touching lives in his neighborhood and inspiring hope among everyone he comes in contact. An unsuspecting substitute postman, with a troubled life of his own, becomes entangled in the boy's journey and his family by reading the letters. They inspire him to seek a better life for himself and his own son he's lost through his alcohol addiction.",23.02319,/coraGbtZPMKUQEFRKN9Epnqi0UA.jpg,4/9/2010,Letters to God,FALSE,6.5,37
112160,FALSE,/dhsYvPtiBoNfxXqIsBKqV7cTQwm.jpg,"[35, 18]",fr,Chroniques sexuelles d'une famille d'aujourd'hui,Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.,14.015451,/pU2nD3Llaz3Taq5FAaQUg00uJYD.jpg,5/9/2012,Sexual Chronicles of a French Family,FALSE,4.3,94
64690,FALSE,/ekLAySalu0CGoGogPWY0BG6uAul.jpg,"[18, 28, 53, 80]",en,Drive,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,13.786223,/nu7XIa67cXc2t7frXCE5voXUJcN.jpg,8/6/2011,Drive,FALSE,7.5,4044
1018,FALSE,/ihkQywNs6Si24WssdmT1rNHuAYy.jpg,"[53, 18, 9648]",en,Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",12.65772,/oKyY4TFaLjQTgyX8oRde82GinOw.jpg,5/16/2001,Mulholland Drive,FALSE,7.7,1629
10285,FALSE,/rNqayZdhu5yCckGRjMsrpbsi55Z.jpg,"[14, 27, 53]",en,Jason Goes to Hell: The Final Friday,"Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed.",12.263212,/8yLdCrD1Eh6eoGTIIQ4jNBFLkUb.jpg,8/13/1993,Jason Goes to Hell: The Final Friday,FALSE,4.2,205
73861,FALSE,/19qAk3bQZ6ulspbwhPw1A0bNpii.jpg,"[27, 80, 53]",sr,Srpski film,"Milos, a retired porn star, leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",11.613065,/edM906NOM5WxaaAMeTsgDeqnBDr.jpg,6/16/2010,A Serbian Film,FALSE,5.5,434
298312,FALSE,/cuAeZUGDQavjD0Ylc2g0ZVh401s.jpg,"[27, 53]",en,The Visit,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day.",11.427071,/32tNtTEQ1vIOLm1hEOSFkVwJT5D.jpg,9/10/2015,The Visit,FALSE,6.1,1515
8967,FALSE,/tBs9alJ2weUkOW83RkuBlz8Nlw6.jpg,"[18, 14]",en,The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",11.101708,/ptDOdfOg0srtk4TGdeYbLqxv2nd.jpg,5/18/2011,The Tree of Life,FALSE,6.5,1075
8810,FALSE,/etybioibi04QJK9xxn3Rv5NLuKs.jpg,"[12, 28, 53, 878]",en,Mad Max 2,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",10.831456,/voNuYkvQgDSqijCDllEaRntq7ln.jpg,12/24/1981,Mad Max 2: The Road Warrior,FALSE,7.3,1038
18176,FALSE,/fNVivNZEg6qf0T2DTNcZMxTac7B.jpg,"[35, 80, 9648, 53]",en,Assassination of a High School President,"After the theft of copies of SAT exams from a principal's office, teenage reporter Bobby Funke sets out to unmask the thief. Bobby prints an article fingering Class President Paul Moore as the thief, shredding the youth's reputation. But as Bobby gets to know Paul's girlfriend, Francesca, he comes to realize he was wrong about Paul, so he sets out to unmask the true culprit.",10.618446,/9e1SZqHtyNsJzkrxOgmq8GyEjCN.jpg,1/17/2008,Assassination of a High School President,FALSE,6,98
426230,FALSE,/q7MjtWWThDW1XvwA3wiVpa7poWW.jpg,[35],en,Band Aid,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,10.599961,/lcxx0vN0hhQi7KFpRaJlxAaLLhR.jpg,6/2/2017,Band Aid,FALSE,6.6,32
948,FALSE,/6Io0gvfEVpMQsB46yXOKCpSJOoJ.jpg,"[27, 53]",en,Halloween,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",10.58816,/vjoOFOTBJcJvA1weJejlZ92LZD4.jpg,10/24/1978,Halloween,FALSE,7.4,1158
10017,FALSE,/5D3CqlrdnU4waJuh37OyoEcLCID.jpg,"[10749, 878, 27, 28, 80]",en,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",10.420405,/agKajLCLtUNR5KH6lvmeg9LT1gD.jpg,11/21/1986,The Wraith,FALSE,6,112
9770,FALSE,/5rEDVAEmOsU7jOSVAlYhCpSPmgW.jpg,"[28, 18, 53]",en,Mad City,A misguided museum guard who loses his job and then tries to get it back at gunpoint is thrown into the fierce world of ratings-driven TV gone mad.,10.324763,/3aBKgBnqzg3ZUpGCHXzlVs2xINU.jpg,11/7/1997,Mad City,FALSE,5.9,82
546,FALSE,/5Y6PdkVnCkEWdv9qCmNLVBfCV3w.jpg,[18],en,Transamerica,Bree is about to get a sex change operation that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.,10.197559,/ehYc5DRe1Ipnn5XSf3Tol3LMbrq.jpg,12/23/2005,Transamerica,FALSE,6.9,158
309886,FALSE,/5PutiS1J3JCRNyROPD44Xg7kwcD.jpg,"[28, 53]",en,Blood Father,An ex-con reunites with his estranged wayward 16-year old daughter to protect her from drug dealers who are trying to kill her.,10.115917,/rQ3CKv33u2Z4keC2AYZqi3RGIdX.jpg,8/11/2016,Blood Father,FALSE,6.1,551
8193,FALSE,/Ac1DJFbYXWANxO59l1uabUcYQT0.jpg,[35],en,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",10.088781,/s0yuDUKiAJNl5XkO9OT4aFwnA3I.jpg,6/11/2004,Napoleon Dynamite,FALSE,6.7,584
9456,FALSE,/pYMUH9y0aZMjw0QWF9i0m6hn4IP.jpg,"[28, 878, 53]",en,The Crow: Salvation,"Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of killing. Alex follows the crow into the police department's evidence room, where he discovers that Lauren was killed by a group of corrupt cops.",10.04593,/lD0Q8FYseQSBD9DKYuHeVdmSGwC.jpg,10/31/2000,The Crow: Salvation,FALSE,5,81
13020,FALSE,/jkpTcreM7YOUF4RaDTgTAy9aMJZ.jpg,[99],en,Enron: The Smartest Guys in the Room,"A documentary about the Enron corporation, its faulty and corrupt business practices, and how they led to its fall.",9.966587,/d1oHF7nFAxC6X5ZNRn1SCSTJYDW.jpg,4/22/2005,Enron: The Smartest Guys in the Room,FALSE,7.2,77
5879,FALSE,/pdTK37YRrMGXNQniCN5Y15rYi90.jpg,"[18, 10749]",ja,愛のコリーダ,"Based on a true story set in pre-war Japan, a man and one of his servants begin a torrid affair. Their desire becomes a sexual obsession so strong that to intensify their ardor, they forsake all, even life itself.",9.909946,/ztLv3Co2uLZMV7YERWbPrTMUi03.jpg,5/15/1976,In the Realm of the Senses,FALSE,6.5,117
624,FALSE,/7HVnz5THbqJZKmAuRvF9vDNaLcK.jpg,"[12, 18]",en,Easy Rider,A cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices.,9.886706,/e3jHM20jbKZbXYjRwmfQOJ0VnzP.jpg,5/7/1969,Easy Rider,FALSE,7,440
37722,FALSE,/eiSRZDOA0d5gKEISvknhQGgwHpk.jpg,"[18, 10749]",en,Waking the Dead,"A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.",9.783711,/8tPS6UXtEDAHqzt6WtLG7k3rpzq.jpg,3/23/2000,Waking the Dead,FALSE,6.7,23
39414,FALSE,/q2LMq6zuUxygwWaBCYkdiBjEikF.jpg,"[35, 18]",en,Paper Man,"A coming-of-middle-age comedy that chronicles the unlikely friendship between failed author Richard Dunne and a Long Island teen who teaches him a thing or two about growing up, all under the disapproving eye of his long-suffering wife and his imaginary Superhero friend.",9.765327,/9hxX18PbOZGjcnLeTBjhqKq1YLY.jpg,6/15/2009,Paper Man,FALSE,6.1,97
